,F_ligand_id,F_smiles,F_PDB,H_ligand_id,H_smiles,H_PDB,F_affinity_type,F_affinity_value,F_affinity_unit,F_affinity_link,H_affinity_type,H_affinity_value,H_affinity_unit,H_affinity_link,pubmed_H,pubmed_F,same_study
0,06Z,Fc1cc(Nc2nc(N)c(C(=O)c3ccccc3)s2)ccc1,3RJC,X36,n1c(N)c(C(=O)c2ccccc2)sc1Nc1ccccc1,3QTR,IC50,5700.0,nM,http://www.pdbbind-cn.org/quickpdb.php?quickpdb=3rjc,IC50,930.0,nM,http://www.pdbbind-cn.org/quickpdb.php?quickpdb=3qtr,23600925,23600925,True
1,09I,c1(c2c(ccc1)oc(c1c(N3CCCCCC3)nc(N)c(C(=O)NC(=N)N)n1)c2)F,5ZC5,50I,c1c2c(ccc1)oc(c1c(N3CCCCCC3)nc(N)c(C(=O)NC(=N)N)n1)c2,5ZA9,Ki,88.0,nM,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5ZC5,IC50,530.0,nM,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5ZA9,30130401,30130401,True
2,09I,c1(c2c(ccc1)oc(c1c(N3CCCCCC3)nc(N)c(C(=O)NC(=N)N)n1)c2)F,5ZC5,50I,c1c2c(ccc1)oc(c1c(N3CCCCCC3)nc(N)c(C(=O)NC(=N)N)n1)c2,5ZA9,Ki,88.0,nM,http://www.bindingmoad.org/pdbrecords/index/5zc5,IC50,530.0,nM,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5ZA9,30130401,30130401,True
3,09I,c1(c2c(ccc1)oc(c1c(N3CCCCCC3)nc(N)c(C(=O)NC(=N)N)n1)c2)F,5ZC5,50I,c1c2c(ccc1)oc(c1c(N3CCCCCC3)nc(N)c(C(=O)NC(=N)N)n1)c2,5ZA9,IC50,430.0,nM,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5ZC5,IC50,530.0,nM,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5ZA9,30130401,30130401,True
4,09I,c1(c2c(ccc1)oc(c1c(N3CCCCCC3)nc(N)c(C(=O)NC(=N)N)n1)c2)F,5ZC5,50I,c1c2c(ccc1)oc(c1c(N3CCCCCC3)nc(N)c(C(=O)NC(=N)N)n1)c2,5ZA9,Ki,88.0,nM,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5ZC5,Ki,183.0,nM,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5ZA9,30130401,30130401,True
5,09I,c1(c2c(ccc1)oc(c1c(N3CCCCCC3)nc(N)c(C(=O)NC(=N)N)n1)c2)F,5ZC5,50I,c1c2c(ccc1)oc(c1c(N3CCCCCC3)nc(N)c(C(=O)NC(=N)N)n1)c2,5ZA9,Ki,88.0,nM,http://www.bindingmoad.org/pdbrecords/index/5zc5,Ki,183.0,nM,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5ZA9,30130401,30130401,True
6,09I,c1(c2c(ccc1)oc(c1c(N3CCCCCC3)nc(N)c(C(=O)NC(=N)N)n1)c2)F,5ZC5,50I,c1c2c(ccc1)oc(c1c(N3CCCCCC3)nc(N)c(C(=O)NC(=N)N)n1)c2,5ZA9,IC50,430.0,nM,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5ZC5,Ki,183.0,nM,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5ZA9,30130401,30130401,True
7,09I,c1(c2c(ccc1)oc(c1c(N3CCCCCC3)nc(N)c(C(=O)NC(=N)N)n1)c2)F,5ZC5,50I,c1c2c(ccc1)oc(c1c(N3CCCCCC3)nc(N)c(C(=O)NC(=N)N)n1)c2,5ZA9,Ki,88.0,nM,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5ZC5,Ki,183.0,nM,http://www.bindingmoad.org/pdbrecords/index/5za9,30130401,30130401,True
8,09I,c1(c2c(ccc1)oc(c1c(N3CCCCCC3)nc(N)c(C(=O)NC(=N)N)n1)c2)F,5ZC5,50I,c1c2c(ccc1)oc(c1c(N3CCCCCC3)nc(N)c(C(=O)NC(=N)N)n1)c2,5ZA9,Ki,88.0,nM,http://www.bindingmoad.org/pdbrecords/index/5zc5,Ki,183.0,nM,http://www.bindingmoad.org/pdbrecords/index/5za9,30130401,30130401,True
9,09I,c1(c2c(ccc1)oc(c1c(N3CCCCCC3)nc(N)c(C(=O)NC(=N)N)n1)c2)F,5ZC5,50I,c1c2c(ccc1)oc(c1c(N3CCCCCC3)nc(N)c(C(=O)NC(=N)N)n1)c2,5ZA9,IC50,430.0,nM,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=5ZC5,Ki,183.0,nM,http://www.bindingmoad.org/pdbrecords/index/5za9,30130401,30130401,True
20,0BZ,Fc1c(Nc2nc(Nc3ccc(cc3)C(=O)O)ncc2)cccc1,3UNZ,0BX,N(c1ccc(cc1)C(=O)O)c1nc(Nc2ccccc2)ccn1,3UO5,&Delta;H,-71.0,kJ/mol,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=3UNZ,Kd,39.0,nM,http://www.bindingdb.org/jsp/dbsearch/PrimarySearch_pdbids.jsp?pdbids_submit=Search&pdbids=3UO5,22248356,22248356,True
